,content
832,RT lisaespo: Bringing up vaccinations -- diplomatically -- as a parent: http://ow.ly/JnZK2
833,7 Ways to Ease Back Pain Naturally: http://ow.ly/JprCu http://pbs.twimg.com/media/B-UNCkvCYAACULF.jpg
834,"Huge medical bill? How to tell if you've been ""balanced billed"" via LacieJaeGlo http://ow.ly/JpuYS"
835,"Butter, bacon and even mayo aren't off-limits, says dietitian TobyAmidor. Hallelujah! http://ow.ly/Jpw3H"
836,Don't let the weather ruin your fitness routine! Try these apps instead: http://ow.ly/Jq8zS
837,"Manage your stress, exercise &amp; know your family history for top-notch HeartHealth http://ow.ly/JqgHD"
838,Going vegetarian isn't always healthier -- unless you avoid these 5 mistakes: http://ow.ly/JqWJi
839,"Ever heard of back pain ""boot camp""? http://ow.ly/JqX6W"
840,Women's Public Enemy No. 1: Heart Disease: http://ow.ly/JqXfo hearthealth
841,"You vaccinate your kids, they don't. How to deal with them tactfully? http://ow.ly/JrdKg"
842,How do the celebs prepare for the Oscars? 7 wacky tricks: http://ow.ly/JqTu8
843,Got snow rage? It's real. Here's how to deal: http://ow.ly/JrrxL
844,RT HealthyLiving: 10 foods that boost your energy via USNewsHealth http://bit.ly/1ATXIaO
845,"Huge medical bill? You may have been ""balance billed."" LacieJaeGlo knows how to tell &amp; what to do. http://ow.ly/Jrs00"
846,"Turn heavy cream into whipped cream for a lighter treat, says TobyAmidor http://ow.ly/Jrs90"
847,RT lisaespo: If you're a parent concerned about antivaxxers in your community http://bit.ly/1F4ESLK USNewsHealth
848,Can dietary changes improve erectile dysfunction? http://ow.ly/Jrsh8
849,"Pharmacist-recommended cough, cold &amp; allergy medicines: http://ow.ly/JrAr4"
850,"What ""Gone Girl"" Does &amp; Doesn't Tell Us About Mentalillness: http://ow.ly/JqWPF Oscars"
851,"Why 10,000 steps a day won't make you thin. http://ow.ly/JrBs5"
852,"Sorry, but going vegetarian doesn't mean you can eat all the cheese all the time, kafetters says. http://ow.ly/JszzA"
853,7 Wacky Celebrity Diet &amp; Weight-Loss Tricks: http://ow.ly/JqTCJ Oscars RedCarpet
854,"Here's a diet that works, but no one talks about it. lisaespo explores what's up with DASH: http://ow.ly/JszJH"
855,Should you try a juice cleanse? http://ow.ly/JsAa8
856,Want a prescription for optimal health? Try a plant-based diet: http://ow.ly/JsAyY eatplants
857,10 Foods That Boost Your Energy by Brendan_Brazier http://ow.ly/JsAHc
858,"Want to tame your hunger? Start with your brain, DrSherryPagoto says. http://ow.ly/JvyAU"
859,Tackling Eating Disorders With School-Based Initiatives: http://ow.ly/JvStj NEDAwareness
860,"America's Dietary Guidelines should take a cue from Brazil &amp; consider the big picture, says YoniFreedhoff http://ow.ly/Jw0RZ"
861,"RT leonardkl: ""There’s NO link between the MMR vaccine and autism,"" says Dr. Anne Schuchat from CDCgov. ""Vaccines are safe and effective…"
862,"Dietitian, nutritionist, health coach -- what's the difference? http://ow.ly/JwqYk"
863,“Kids are more afraid of being fat than they are of war and terrorism.” http://ow.ly/Jw09b
864,In defense of the new DietaryGuidelines: http://ow.ly/JwUnX by DrDavidKatz
865,RT Steph_Steinberg: ATTN: Health writers! USNewsHealth is looking for a reporter to cover conditions and patients. http://www.usnews.com/info/features/employment?int=a60f09
866,"Did you know? Most people w/ eating disorders don't have anorexia or bulimia. A look at the ""others"" http://ow.ly/JxjsP NEDAwareness"
867,5 Fatty Foods You Can Still Enjoy (hint: bacon) http://ow.ly/Jx7b2
868,RT leonardkl: Are you a parent who has hosted a chickenpox party or had your child attend one? Would love to hear from you for a usnews…
869,".@DrDavidKatz says ""kid food"" should be eliminated http://ow.ly/Jx5CJ – and his son raps about it. http://ow.ly/Jx5CK"
870,"RT AnnaMedaris: ""I can’t keep counting calories because I’m living in a jail made of numbers.’” http://ow.ly/Jxvj2 NEDAwareness"
871,12 Habits of People Who Never Get Tired via HealthyLiving http://ow.ly/Jxmxs
872,Celebrating MeatlessMonday? Don't make these 5 vegetarian eating mistakes. http://ow.ly/Jxphf
873,"Are Benzodiazepines (Xanax, Valium, etc.) more helpful or harmful? http://ow.ly/JxoBm anxiety"
874,"Build your ""hunger tolerance"" &amp; other ways to use your brain to tame your appetite: http://ow.ly/JxpOv"
875,"Cold? Hit the sauna! New research suggests it could lengthen your life, too: http://ow.ly/JxuBe"
876,"Feeding babies peanuts might actually help *prevent* allergies, study finds. http://ow.ly/Jy9Ou http://pbs.twimg.com/media/B-nW0i2VEAIuzJw.jpg"
877,"How to Give Into Your Cravings Without Shame by our newest blogger, deliciousalex http://ow.ly/JzTqI"
878,5 Healthy Habits for Happy Hearts: http://ow.ly/JAnnh
879,2 perspectives on the new dietary guidelines: Pros via DrDavidKatz http://ow.ly/JA0lk &amp; cons via YoniFreedhoff http://ow.ly/JA0ll
880,Which supplements do you really need? LacieJaeGlo breaks it down: http://ow.ly/JAzEO
881,"Train your brain to tame your appetite, says DrSherryPagoto http://ow.ly/JBeUV"
882,"Did you know? Sleeping an extra hour each night is linked to a $6,000 salary boost. http://ow.ly/JBfGr"
883,RT AnnaMedaris: Are you a woman who's struggled with hair loss? I'd love to hear your story. Email amiller[at]usnews[dot]com.
884,"News flash: Lack of vitamin D may raise your diabetes risk more than obesity, reports kafetters http://ow.ly/JBvBM"
885,Is your child bullied because of his or her allergies? How to deal. http://ow.ly/JBhym
886,Should you try a juice cleanse? http://ow.ly/JBhKi
887,Can carbs fit into a healthy diet? HealthyLiving asks AlanNMD http://ow.ly/JBiym
888,“We could really put a dent into eating disorders if more schools took action.” http://ow.ly/JBh6o NEDAwareness EatingDisorders
889,Want to adopt but deterred by expenses? Consider being a foster parent first. http://ow.ly/JBAkU via USNewsMoney adoption
890,"Goodbye “one-size-fits-all” diet, hello plant-based eating patterns. http://ow.ly/JD81q dietaryguidelines eatplants"
891,"Strictly speaking, most of us don't need supplements at all. http://ow.ly/JD8Dz"
892,It's eating disorder awareness week. Did you know OSFED &amp; UFED are more common than anorexia and bulimia? http://ow.ly/JD8VC
893,Thinking about a detox? WholeGreenYou shares 4 tips for doing it the solid food-based way: http://ow.ly/JDDaW
894,Is she just a drama queen – or is it histrionic personality disorder? http://ow.ly/JDDYw http://pbs.twimg.com/media/B-tAXtwUEAEi1Jy.jpg
895,"It's still hearthealth month! ""The 10 Best Heart-Healthy Diets"" by angelahaupt http://ow.ly/JDPJO"
896,Vitamin D deficiency appears to increase your risk of Type 2 diabetes – no matter your weight. http://ow.ly/JDRgt
897,RT MHPA: Great story by leonardkl on the Medicaid enrollment surge across the U.S. http://t.usnews.com/Z73pkl via usnews
898,The Link Between Financial Stress &amp; Depression by ElizabethRenter http://ow.ly/JEdfR
899,RT Steph_Steinberg: Want to lose weight and lower cholesterol? Try 1 of the 10 Best Heart-Healthy Diets: http://t.usnews.com/Z6x4fq BestDiets
900,RT angelahaupt: It's NEDAWeek – but not every eating disorder has a name. http://t.usnews.com/Z6z5tl
901,RT lisaespo: When attention seeking goes beyond being a drama queen/king: http://ow.ly/JDDYw  USNewsHealth
902,"Scared of detoxing? If you do it right, you don't have to be says WholeGreenYou http://ow.ly/JEIuC"
903,RT ElizabethRenter: In my latest ... I look at the “dark link” between money stress and depression. http://health.usnews.com/health-news/health-wellness/articles/2015/02/25/the-dark-link-between-financial-stress-and-depression?src=usn_tw
904,.@deliciousalex tells us why she's happy she ditched her vegan lifestyle &amp; listened to her cravings: http://ow.ly/JEIHm
905,RT angelahaupt: The 2015 dietary guidelines report says to get meat off our plates. PlantDietitian on why this is really good news: http:…
906,"Think you're just not into fruit? You haven't tried the good stuff, says JanetHelm. http://ow.ly/JFVFL http://pbs.twimg.com/media/B-xlT36UsAEc1Tf.jpg"
907,"It’s time to kick our addiction to meat, because it’s killing us – and our planet. - plantdietitian http://ow.ly/JFX39"
908,"Are finances fueling your depression, or is depression worsening your financial situation? http://ow.ly/JFXzC"
909,What are the best diets for hearthealth? angelahaupt lists the top 10: http://ow.ly/JFY0f Ornish Vegan Vegetarian
910,Quiz: How much do you know about plant-based diets? http://ow.ly/JFYmp eatplants
911,"Call it stir craziness, cabin fever or snow rage, here's how to cope: http://ow.ly/JFZu1 http://pbs.twimg.com/media/B-yjLrqW4AAcnC_.jpg"
912,"You've heard of helicopter parents, but are you a ""helicopter child"" to your aging parents? http://ow.ly/JGZ4w"
913,Are more male birth control options on the horizon? http://ow.ly/JH0d8
914,"Why you might not need that hysterectomy, after all: http://ow.ly/JH2PJ womenshealth"
915,Where's the line between a flair for drama and a MentalHealth condition? lisaespo breaks it down. http://ow.ly/JFZ0q
916,"Yikes! HHS doesn't have a backup plan if the Supreme Court rules against Obamacare, leonardkl reports. http://ow.ly/JHy51"
917,RT AnnaMedaris: Are you a helicopter child to your aging parents? http://ow.ly/JH3B0
918,"Don't let the cold, dark days keep you from yoga. Let them inspire you! http://ow.ly/JHDAt"
919,10 Ways to Get More Sleep: http://ow.ly/JHGXr
920,RT DrGailSaltz: Great article - The Dark Link Between Financial Stress and Depression usnewshealth http://ow.ly/JG31u
921,"Is there a ""right"" way to weigh yourself? lisaespo asks the experts. http://ow.ly/JIPgR"
922,66% of men said they'd be willing to take a birth control pill. Will they get the chance? http://ow.ly/JIPs2
923,Artificial cartilage: A new treatment for meniscus injuries? http://ow.ly/JJaV2 running
924,Conquer your fruit fear with these 10 exotic treats: http://ow.ly/JJyMm
925,RT usnews: You're doing it all wrong. http://ow.ly/JJGE5  via USNewsHealth http://pbs.twimg.com/media/B-3rj2ZXEAExkYO.jpg
926,Think twice before scheduling that hysterectomy. http://ow.ly/JK3i4 womenshealth
927,How to detox the healthy (i.e. food-based) way: http://ow.ly/JK3vB
928,“Kids are more afraid of being fat than they are of war and terrorism.” How schools are helping change that. http://ow.ly/JK3XO
929,"What's ""regularly"" when it comes to weighing yourself? (&amp; other scale questions) http://ow.ly/JJZEt"
930,The top 10 diets for your heart: http://ow.ly/JKnBP hearthealth
931,Attention runners! Could artificial cartilage be the answer to your knee problems? http://ow.ly/JKp4R
932,"No ""plan B"" if Supreme Court rules against Obamacare? Yup. http://ow.ly/JKpG2"
933,Which scale is more accurate: Your digital scale or the doc's balance beam one? http://ow.ly/JK03k
934,"What's the difference between a family caregiver and a ""helicopter child?"" http://ow.ly/JKnmg"
935,"Implants, gels, pills, oh my! We're talking about the future of male birth control. http://ow.ly/JKpQx"
936,What are the best diets for your heart? angelahaupt asks experts to rank the top 10: http://ow.ly/JKnOw
937,"Doctors underutilize [alternatives to hysterectomies] and it is a disservice to women.”  http://ow.ly/JKnYM
571784575711637505|Sat Feb 28 21:30:40 +0000 2015|To take supplements or to not take supplements? That's the question –and LacieJaeGlo has the answer. http://ow.ly/JKqtm
571764367349444608|Sat Feb 28 20:10:22 +0000 2015|If there's a future for male birth control, it’s a long time coming."" http://ow.ly/JKq8C"
938,"Go ahead, give into those cravings, says deliciousalex. Here's what they're telling you: http://ow.ly/JKr0a"
939,Study: Nearly 20 percent of hysterectomies performed to treat noncancerous conditions are unnecessary. http://ow.ly/JMMi5
940,5 Myths About Women Weightlifters: http://ow.ly/JMMsC http://pbs.twimg.com/media/B_BrTtNW0AAOOWF.jpg
941,Did you go vegetarian and *gain* weight? 5 reasons why. http://ow.ly/JMMOL
942,RT HealthyLiving: 10 exotic fruits you have to try via USNewsHealth http://bit.ly/1axdNrm
943,In defense of the DietaryGuidelines: http://ow.ly/JMNN8
944,Why you should weigh yourself on Monday (&amp; other scale tips.) http://ow.ly/JK0ni
945,"Ever try (or even heard of) rambutan, kiwano or durian? Why you should. http://ow.ly/JMNq0 fruit"
946,"10 Habits to Help You Be a Healthier, Happier Cook: http://ow.ly/JMP6l cooking"
947,The case for eating more plants. http://ow.ly/JMQ8S
948,What's missing from the new theIOM report on ChronicFatigueSyndrome? http://ow.ly/JOz6A CFS
949,5 Things a Dietitian Would Never Say: http://ow.ly/JOzRF
950,RT thatcaseyquin: The future of male birth control: http://t.usnews.com/Z736v4  USNewsHealth
951,Everything you need to know about taxes &amp; health insurance via LacieJaeGlo http://ow.ly/JPdd1
952,Another (very good) reason to get your vitamin D. http://ow.ly/JPex9
953,"RT angelahaupt: A real dietitian would never say these 5 things – so if you hear them, run. Via appetite4health: http://t.usnews.com/Z78zpb"
954,When is it OK to call in sick? AskaManager breaks down the decision via USNewsCareers: http://ow.ly/JPf4O
955,"The Most (And Least) Addictive Foods, According to Science via HealthyLiving http://ow.ly/JPzxr"
956,Did you know? 40 &amp; of people with hair loss are women. http://ow.ly/JPYSa  AlopeciaAreata FemaleHairLoss http://pbs.twimg.com/media/B_HXMd6UwAAK6BF.jpg
957,RT Steph_Steinberg: Currently trending in USNewsHealth: When Your Eating Disorder Doesn't Have a Name http://t.usnews.com/Z6z5tl NEDAwareness
958,Is your financial situation causing your depression – or vice versa? http://ow.ly/JQdZB
959,How can you tell a registered dietitian from a quack? appetite4health lists 5 things the former would never say. http://ow.ly/JQgLO
960,The good &amp; the bad of theIOM's report on chronic fatigue syndrome: http://ow.ly/JQuGD CFS
961,"You've heard of helicopter parenting, but what about being a helicopter child? http://ow.ly/JQzKR"
962,Which diets are best for your heart? Here are the top 10. http://ow.ly/JQA3N
963,"If you want to avoid bloating, avoid these foods: http://ow.ly/JQAEp"
964,"Add a pillow, hydrate &amp; 11 other ways to beat a cold: http://ow.ly/JQBH3"
965,One dietitian's rant against the fiber bar: http://ow.ly/JRYRp  by tamaraduker http://pbs.twimg.com/media/B_LWBqGXAAAbBt_.jpg
966,"How not to turn to food when you're bored, by DrSherryPagoto http://ow.ly/JS2Pb"
967,Everything you need to know about health insurance &amp; your taxes via LacieJaeGlo http://ow.ly/JS65F
968,"RT AnnaMedaris: ""There’s no good reason...to eat a fiber bar, apart from the stranded-on-a-desert-island scenario."" http://ow.ly/JRZCS"
969,How to Talk So Your Doctor Will Listen by ElizabethRenter http://ow.ly/JSJQr http://pbs.twimg.com/media/B_ME-SbU8AEGPSk.jpg
970,"Some people have long hair, some people have short hair, and some people have no hair – alopecia hhttp://ow.ly/JS6S6 hairloss"
971,How New ABLE Accounts Will Help Americans With Disabilities via USNewsMoney http://ow.ly/JSKh3
972,"Step away from the fiber bar, says tamaraduker, and toward the oatmeal &amp; berries. http://ow.ly/JS0aU"
973,8 Ways to Burn Calories This Winter – No Treadmill Required via HealthyLiving http://ow.ly/JTf07 http://pbs.twimg.com/media/B_M7Kh-W0AArexZ.png
974,We are human – food and sex are awesome. Enjoy it. – deliciousalex http://ow.ly/JTfth
975,"“If I knew a kid who was socially anxious, I would say, ‘You should do improv.’” http://ow.ly/JTg5h"
976,Do you eat when you're bored? Stop it. Here's how: http://ow.ly/JTgkN
977,Why 10 P.M. Is The Perfect Bedtime via YahooHealth LewisHowes http://ow.ly/JS2uS sleep
978,"Before you reach for that fiber bar, consider this: ""Adequate fiber intake is a means to an end, not the end itself."" http://ow.ly/JUWFr"
979,7 Tips for Healthy (Enough) Eating on Vacation by KeriGans http://ow.ly/JV17U SpringBreak
980,Never underestimate the power of [doctor-patient] communication that's not necessarily face-to-face http://ow.ly/JV23A
981,New study shows biological differences in people with chronic fatigue syndrome: http://ow.ly/JVf9V via YahooHealth CFS
982,RT lisaespo: Could you be more clever when you talk in your sleep? Steph_Steinberg explores for USNewsHealth http://bit.ly/1ENk91a
983,"Winter is no excuse to forget about your veggies, says SharonPalmerRD http://ow.ly/JVoLy http://pbs.twimg.com/media/B_RHCSiW0AAI_PP.jpg"
984,What do the new dietary guidelines mean for you? lisaespo tells it to you straight: http://ow.ly/JVsse
985,"Women are moody - and that's a good thing, says BellevueDoc. Here's why: http://ow.ly/JVJ69"
986,Why do people talk in their sleep? Steph_Steinberg has the answers: http://ow.ly/JVLaa
987,Don't trust the sniff test! How to really tell if you should eat or toss that food via YahooHealth http://ow.ly/JS5LQ
988,RT FitFluential: How to Weigh Yourself the Right Way http://ow.ly/JVVGl via USNewsHealth FitFluential
989,How to prep your kitchen for the winter weather: http://ow.ly/JVhEG by tamaraduker
990,RT ElizabethRenter: How to Talk So Your Doctor Will Listen - My latest for USNewsHealth and nerdhealth http://buff.ly/1FVm7e9 Medicine
991,"RT angelahaupt: ""Moodiness isn’t a weakness, it isn’t pathology to be stuffed down."" http://t.usnews.com/Z7b7z1 MoodyBitches"
992,RT ClevelandClinic: What the new dietary guidelines mean for you: http://bit.ly/1M5NZOL http://pbs.twimg.com/media/B_RPrEOVEAEzJh1.jpg
993,"Eggs get a raise while meat gets demoted in the new dietaryguidelines, reports lisaespo http://ow.ly/JVsUD"
994,RT Steph_Steinberg: I talked to one man who talked in his sleep and said things too inappropriate to Tweet. http://t.usnews.com/Z72owt
995,"If your ""nutritionist"" says any of these 5 things, run: http://ow.ly/JW8BL"
996,"Ditch the measuring cups and scales, and remember this tip instead: http://ow.ly/JVku2 via HealthyLiving weightloss"
997,.@USNews launches the Best Nursing Homes 2015! Here's what you need to ask before choosing one: http://ow.ly/JXUzZ
998,When and how often you step on that scale (&amp; what kind if is) matter. How to do it right: http://ow.ly/JW91Z
999,Why one woman calls being in a nursing home like being on vacation: ttp://ow.ly/JXW99 bestnursinghomes
1000,How USNews ranks the Best Nursing Homes: http://ow.ly/JXWxp
1001,"If you broke up with eggs, it's time to get back together, says KristinKirkpat http://ow.ly/JYVEs http://pbs.twimg.com/media/B_W0L9oUIAAqhYm.jpg"
1002,Yikes! Rising suicide rates among seniors is tied to financial worries. http://ow.ly/JYW4q money aging depression
1003,"The Norwegians &amp; Minnesotans don't give up on seasonal produce during the winter, so why should you? http://ow.ly/JYYaJ"
1004,"The decision on whether million of Americans lose health insurance could hinge on two justices, leonardkl reports: http://ow.ly/JYYqY"
1005,7 Red Flags to Watch for When Choosing a Nursing Home: http://ow.ly/JYWKG
1006,"RT USNewsMoney: Suicide rates for seniors are often linked to financial hardships, new research shows: http://ow.ly/JYC7I USNewsHealth"
1007,"It's National Nutrition Month, and MelindaRD knows exactly how to take a bite-sized step in. http://ow.ly/K0NtP"
1008,The biggest fear in nursing homes is retaliation says one ombudsman.  http://ow.ly/JZwls
1009,"RT kafetters: Why you need carbs, protein, and fat at every meal: http://ow.ly/K0UYp USNewsHealth raniabatayneh wesdelbridgeRD"
1010,Brighten up your mood through your plantbased plate. DietitianWells on how to do it: http://ow.ly/K0NWY
1011,6 Decisions to Make Before You Die: http://ow.ly/JZvuQ
1012,Suicide rates for adults ages 40 and 64 have climbed about 40 percent since 1999. This might be why. http://ow.ly/K12E9
1013,RT angelahaupt: Some 75 million CT scans are done annually in the U.S. – what's the risk-benefit balance? http://t.usnews.com/Z7cmgo
1014,RT EatWholesome: March is eatright's National Nutrition Month. usnewshealth says to take bite-sized steps into healthier choices: http:/…
1015,What questions MUST you ask when you're choosing a nursing home? http://ow.ly/JZxLW
1016,"Ladies: Your moodiness is a good thing, reports AnnaMedaris http://ow.ly/JZxVt"
1017,Do you talk in your sleep? Steph_Steinberg tells you why. http://ow.ly/JZyOz
1018,"Is sleep talking a sign of a disorder, or just plain funny? http://ow.ly/JZySn"
1019,"RT lisaespo: Before you consent to that CT scan, experts say you should ask: http://bit.ly/1aR7W0f"
1020,Most people's fridges are 8 to 10 degrees off the ideal temp. How can you tell? http://ow.ly/JVexa via YahooHealth
1021,Is it time to break up with eggs – or get back together? http://ow.ly/K0O6x
1022,Why did one nursing home inspector become the state's ombudsman? lisaespo finds out. http://ow.ly/JZwsg
1023,What's the perfect bedtime? LewisHowes has the answer via YahooHealth http://ow.ly/JS2yw
1024,Why are more boomers committing suicide? Finances could be to blame. http://ow.ly/JZzwf
1025,Could eggs be the perfect food? KristinKirkpat thinks so. http://ow.ly/JZxik
1026,"How much do macronutrients – fat, protein and carbs – REALLY matter? http://ow.ly/K12qn"
1027,"Call women crazy, but a more accurate descriptor might simply be 'not men.' http://ow.ly/JZyjC"
1028,Getting a massage this weekend? Do it for medicine: http://ow.ly/K13I8
1029,"What's in, what's out, and what's the plain ol' same with the DietaryGuidelines. http://ow.ly/JZAOl"
1030,"Histrionic personality disorder, or just a drama queen? http://ow.ly/JZBbs"
1031,7 Reasons You're So Sensitive to Caffeine via HealthyLiving http://ow.ly/JVjlS
1032,RT angelahaupt: Is exercise addiction really so bad? http://t.usnews.com/Z794e9
1033,Is a medical home in your future? http://ow.ly/K6r2L
1034,The top 10 diets for your heart: http://ow.ly/JZBBq
1035,"RT lisaespo: Before you consent to that CT scan, experts say you should ask: http://bit.ly/1aR7W0f  USNewsHealth"
1036,RT usnews: How to turn your child into a raging narcissist: http://ow.ly/K7Dp6 http://pbs.twimg.com/media/B_rtspwU0AA5XuD.jpg
1037,How to eat healthy-ish on vacation (and still have fun) http://ow.ly/JZBXQ
1038,The DL on exercise addiction + how bad for you it really is: http://ow.ly/K6rdb
1039,RT usnews: This dog can smell if you have thyroid cancer: http://ow.ly/K7zid http://pbs.twimg.com/media/B_sUz0sWwAAQDPs.jpg
1040,RT SharonPalmerRD: So excited to be featured in usnews RDchat Don’t Skip the Veggies During Winter! http://t.usnews.com/Z7c8h9
1041,"Your mom said it once, we'll say it again. Chew. Your. Food. Here's why: http://ow.ly/K9sbQ http://pbs.twimg.com/media/B_vejazUgAA6ppU.jpg"
1042,RT thatcaseyquin: Financial worries linked to rising suicide rate among baby boomers http://t.usnews.com/Z7bdub USNewsHealth
1043,How bad can exercise addiction really be? http://ow.ly/K9yTW
1044,Did you know? Babies with early signs of food allergies don’t necessarily need to avoid allergenic foods. http://ow.ly/K9zXU
1045,RT Steph_Steinberg: What's it like to be a woman with HIV? HIVBeautyQueen tells her story to AnnaMedaris: http://t.usnews.com/Z7dm2v NWGHA…
1046,RT usnews: Does daylight saving time have you sleepy? Here are 10 ways to get more Zzzs: http://ow.ly/K7iG9 http://pbs.twimg.com/media/B_sEryZWcAIqCxY.jpg
1047,"For National Women &amp; Girls HIV/AIDS Awareness Day, read one woman's story. http://ow.ly/Kagzz"
1048,RT HealthyBites: 5 Reasons you should chew your food. My latest on USNewsHealth mindfuleating ... http://fb.me/2XbEvG8ry
1049,"How is HIVBeautyQueen's life different from someone's w/out HIV? ""It's not,"" she told AnnaMedaris http://ow.ly/KaH9l"
1050,Which alternative medicine treatments are covered by insurance? http://ow.ly/KaW3h
1051,"“Medical homes focus on patients even when they’re not present at the office."" http://ow.ly/KaWw7"
1052,What are the country's best medical schools? Look no further than USNewsEducation's BestGradSchool's rankings: http://ow.ly/KaWLw
1053,"Breakfast ideas for vegetarians, glutenfree dieters, paleo followers, vegans &amp; more: http://ow.ly/KbXjC"
1054,Have you fallen for any of these 4 healthy eating myths? http://ow.ly/KcvbC
1055,RT leonardkl: Students: What are you eating for lunch in the cafeteria today? Share a photo with usnews using the hashtag SchoolLunch.
1056,10 Ways to Stay in Shape on a Budget: http://ow.ly/KcyWO http://pbs.twimg.com/media/B_01bQXWwAAXtLV.jpg
1057,Did you know allergies can make you look older? 6 other things that age you: http://ow.ly/Kczgp
1058,Pro athletes jaycutler6 &amp; MissyFoyRuns have T1 diabetes. What you should know before exercising post-diagnosis: http://ow.ly/KcLV1
1059,To say yoga only a workout is like saying music is only a sound. - yogawithjake http://ow.ly/KcOgw
1060,What the heck are macronutrients &amp; how important are they really anyway? kafetters has the scoop: http://ow.ly/Kdg3u
1061,"Have you heard that diet soda is bad for weightloss? It's a myth, says julieupton http://ow.ly/KdghF"
1062,Overtesting for food allergies can often indicate an allergy where none actually exists. What to know: http://ow.ly/KdwT2
1063,RT usnews: Feeling old? Here are 7 surprising things that age you: http://ow.ly/KcCTJ  via AnnaMedaris http://pbs.twimg.com/media/B_02UkdUgAAIkSm.jpg
1064,Playgrounds: the cheap &amp; effective alternative to a gym. http://ow.ly/KdyMM via alphaconsumer
1065,How to spring clean your budget – starting with your health: http://ow.ly/Kdzeo
1066,Don't let anyone tell you that the penis isn't connected to the heart. http://ow.ly/KdzKS ED
1067,6 Excuses Your Fitness Instructor is Really Tired of Hearing: http://ow.ly/KdAUb via HealthyLiving
1068,What's hot (and not) in fitness? http://ow.ly/Kf5ER
1069,"Fighting childhood obesity starts in schools, says UCLA's David Feinberg. http://pbs.twimg.com/media/B_52E-uUsAEMTYq.jpg"
1070,Why is Sarah Haskins of WholeGreenYou detoxing for 30 days? Let her explain: http://ow.ly/KfoF8
1071,"What you need to know about dissociative identity disorder before watching ""The Crowded Room"" http://ow.ly/KfqLL"
1072,"RT AnnaMedaris: Anyone got a good ""I got sick on vacation"" horror story? Email me! amiller[at]usnews[dot]com"
1073,Hate running? 7 ways not to: http://ow.ly/KdBvZ via HealthyLiving
1074,The median annual phys ed budget for U.S. schools is only $764 per school http://ow.ly/Kg8pP
1075,Too much sleep -- and other surprising things that age you: http://ow.ly/Kg9e2 aging
1076,RT PlantDietitian: 5 Reasons You Should Chew Your Food: http://buff.ly/1EbDAPV USNewsHealth eatandrunUSN http://pbs.twimg.com/media/B_6Yr87W8AAExKd.jpg
1077,"Trendy workout yoga classes often leaves students unsatisfied, injured &amp; seeking more, says yogawithjake http://ow.ly/KgaIQ"
1078,Don't let a Type 1 diabetes diagnosis derail your fitness. Do take lisaespo's advice on how to exercise safely: http://ow.ly/KgbYT
1079,"An antibiotic-resistant bacteria may be spreading in more hospitals than patients know, leonardkl reports: http://ow.ly/KgdRW"
1080,Is cancer becoming more of a chronic disease than a death sentence? leonardkl reports: http://ow.ly/Ki7a3
1081,Diagnosed with heart failure? lisaespo on how to succeed: http://ow.ly/KhZHA http://pbs.twimg.com/media/B_--WCgUwAEd8Qy.jpg
1082,RT usnews: FROM THE ARCHIVES: Here's what the government thought was a healthy meal in 1969: http://ow.ly/Kig6H http://pbs.twimg.com/media/B__BG3mWsAAGR1Q.jpg
1083,Doctors in South Africa perform world's first successful penis transplant: http://ow.ly/KipOE http://pbs.twimg.com/media/B__Ls28UUAAHagv.jpg
1084,"It sure ain't sexy, but sound nutrition advice really hasn't changed, says TobyAmidor http://ow.ly/Ki7Lp"
1085,.@OhioState's Dr. Timothy Miller on a new approach to treating ruptured Achilles heels: http://ow.ly/Ki8RD running
1086,For all those marathon runners whose winters derailed their training plans: http://ow.ly/Kicxt
1087,"RT thatcaseyquin: 12 spring superfoods, from leeks to beets http://t.usnews.com/Zlbjz USNewsHealth"
1088,"RT leonardkl: Moms and Dads: Have you ever sent your kids to a chicken pox party, or know someone who has? Writing a usnews story."
1089,RT USNewsMoney: Beat the 3 p.m. slump without napping under your desk: http://ow.ly/Kgy6V lauraemcmullen http://pbs.twimg.com/media/B_8NCyuW8AAqBwg.jpg
1090,"Multiple personalities make for a good movie character, but what's the condition like in real life? http://ow.ly/KicWU mentalhealth"
1091,Will going organic help you lose weight? kafetters explores: http://ow.ly/Kj0XI
1092,RT kafetters: Will going organic help you lose weight? The answer: http://ow.ly/Kjb9U USNewsHealth
1093,"Need an energy boost? Try some hemp seeds, quinoa or kale Brendan_Brazier says: http://ow.ly/Kja9B"
1094,RT lisaespo: The biggest way to help yourself if you have heart failure is ______.  http://bit.ly/19hpMct USNewsHealth
1095,Why aren't we attracted to sound nutrition advice? Bo-ring. http://ow.ly/KjpGS via TobyAmidor
1096,"“You're going to take more care of yourself, pay more attention &amp; maybe work a little harder."" http://ow.ly/KjreE diabetes exercise"
1097,How does a regular apple compare to an organic one in terms of nutrients &amp; calories? http://ow.ly/KjPAu
1098,Are potatoes an unhealthy carb or healthy veggie? http://ow.ly/KjPH9 http://pbs.twimg.com/media/CAENnu7U0AEXpPL.jpg
1099,Yum! 6 (Healthier) Recipes for PiDay: http://ow.ly/Kj8Uq http://pbs.twimg.com/media/CAEf-lmUMAAKZPN.jpg
1100,"Everyone ages, but not everyone does it with gusto. Here's how: http://ow.ly/KjQ6o"
1101,"The term ""heart failure"" can be hard to hear, but people are resilient. http://ow.ly/KjQcj"
